MonthDate,SpeciesID,SeasonID,LocationID,ClusterID,AvgTempC,ObservationCount
1980-12-01,3,1,33_-82_Georgia,2,7.611111,2
1980-02-01,1,1,34_-118_California,2,9.333333,1
1980-01-01,3,1,34_-79_South Carolina,3,7.111111,1
1980-02-01,3,1,34_-79_South Carolina,3,5.388889,1
1980-12-01,3,1,34_-79_South Carolina,3,6.888889,1
1980-01-01,1,1,34_-79_South Carolina,3,7.111111,1
1980-01-01,3,1,35_-76_North Carolina,3,4.6666665,1
1980-12-01,3,1,36_-84_Tennessee,2,3.9444444,1
1980-12-01,3,1,36_-82_North Carolina,3,4.888889,1
1980-01-01,3,1,36_-76_North Carolina,3,4.6666665,2
1980-01-01,3,1,36_-75_North Carolina,3,4.6666665,2
1980-12-01,3,1,37_-122_California,2,8.388889,2
1980-02-01,3,1,37_-77_Virginia,3,-0.22222222,1
1980-12-01,3,1,37_-77_Virginia,3,2.4444444,2
1980-12-01,3,1,37_-76_Virginia,3,2.4444444,2
1980-01-01,3,1,38_-123_California,4,7.7222223,2
1980-12-01,3,1,38_-123_California,4,8.388889,1
1980-12-01,3,1,38_-122_California,4,8.388889,3
1980-02-01,3,1,38_-121_California,4,9.333333,1
1980-12-01,3,1,38_-121_California,4,8.388889,1
1980-01-01,3,1,38_-76_Maryland,3,0.16666667,4
1980-02-01,3,1,38_-76_Maryland,3,-1.1666666,3
1980-12-01,3,1,38_-76_Maryland,3,1.2777778,5
1980-12-01,3,1,38_-75_Maryland,3,1.2777778,1
1980-01-01,3,1,39_-124_California,4,7.7222223,1
1980-01-01,3,1,39_-122_California,4,7.7222223,7
1980-02-01,3,1,39_-122_California,4,9.333333,5
1980-12-01,3,1,39_-122_California,4,8.388889,5
1980-12-01,3,1,39_-105_Colorado,4,1.5555556,2
1980-12-01,3,1,39_-98_Kansas,2,2.0555556,1
1980-02-01,3,1,39_-86_Indiana,3,-5.111111,1
1980-01-01,3,1,39_-77_Maryland,3,0.16666667,1
1980-01-01,1,1,39_-77_Maryland,3,0.16666667,1
1980-02-01,1,1,39_-77_Virginia,3,-0.22222222,2
1980-01-01,3,1,39_-76_Maryland,3,0.16666667,1
1980-02-01,3,1,39_-76_Maryland,3,-1.1666666,1
1980-02-01,3,1,39_-75_Delaware,3,-1.0,1
1980-12-01,1,1,39_-75_New Jersey,3,-1.1111112,1
1980-01-01,3,1,39_-74_New Jersey,3,-0.8333333,2
1980-02-01,3,1,39_-74_New Jersey,3,-2.2222223,1
1980-12-01,3,1,39_-74_New Jersey,3,-1.1111112,1
1980-01-01,1,1,39_-74_New Jersey,3,-0.8333333,2
1980-02-01,1,1,39_-74_New Jersey,3,-2.2222223,1
1980-01-01,3,1,40_-122_California,4,7.7222223,2
1980-02-01,3,1,40_-122_California,4,9.333333,3
1980-12-01,3,1,40_-121_California,4,8.388889,1
1980-01-01,2,1,40_-113_Utah,4,-1.2777778,1
1980-01-01,3,1,40_-113_Utah,4,-1.2777778,1
1980-02-01,3,1,40_-113_Utah,4,0.6666667,1
1980-12-01,3,1,40_-113_Utah,4,1.3333334,2
1980-12-01,3,1,40_-105_Colorado,4,1.5555556,2
1980-02-01,1,1,40_-81_Ohio,3,-4.888889,1
1980-02-01,1,1,40_-78_Maryland,3,-1.1666666,1
1980-12-01,3,1,40_-77_Pennsylvania,3,-3.3888888,1
1980-02-01,3,1,40_-76_Pennsylvania,3,-5.0,3
1980-12-01,3,1,40_-75_New Jersey,3,-1.1111112,1
1980-01-01,3,1,40_-75_Pennsylvania,3,-3.5,3
1980-12-01,3,1,40_-75_Pennsylvania,3,-3.3888888,1
1980-12-01,1,1,40_-75_New Jersey,3,-1.1111112,1
1980-01-01,1,1,40_-75_Pennsylvania,3,-3.5,3
1980-02-01,1,1,40_-75_Pennsylvania,3,-5.0,2
1980-12-01,1,1,40_-75_Pennsylvania,3,-3.3888888,1
1980-01-01,1,1,40_-74_New Jersey,3,-0.8333333,1
1980-12-01,3,1,41_-112_Utah,4,1.3333334,1
1980-01-01,1,1,41_-78_Pennsylvania,3,-3.5,1
1980-01-01,3,1,41_-75_New Jersey,3,-0.8333333,1
1980-01-01,3,1,41_-74_New York,3,-5.7777777,1
1980-01-01,1,1,41_-74_New York,3,-5.7777777,8
1980-12-01,1,1,41_-74_New York,3,-7.2222223,1
1980-12-01,1,1,41_-73_Connecticut,3,-3.7222223,1
1980-02-01,1,1,41_-73_New York,3,-8.0,1
1980-01-01,3,1,41_-72_New York,3,-5.7777777,2
1980-02-01,3,1,41_-72_New York,3,-8.0,1
1980-01-01,1,1,41_-72_Connecticut,3,-2.5,1
1980-02-01,1,1,41_-72_Connecticut,3,-4.4444447,1
1980-12-01,1,1,41_-72_Connecticut,3,-3.7222223,5
1980-01-01,1,1,41_-72_New York,3,-5.7777777,4
1980-02-01,1,1,41_-72_New York,3,-8.0,6
1980-12-01,1,1,41_-72_New York,3,-7.2222223,2
1980-01-01,1,1,41_-72_Rhode Island,3,-1.8888888,3
1980-12-01,1,1,41_-72_Rhode Island,3,-2.6666667,3
1980-12-01,1,1,41_-71_Rhode Island,3,-2.6666667,1
1980-12-01,3,1,42_-124_California,4,8.388889,2
1980-01-01,3,1,42_-122_California,4,7.7222223,1
1980-02-01,3,1,42_-122_California,4,9.333333,1
1980-12-01,3,1,42_-122_California,4,8.388889,1
1980-02-01,3,1,42_-122_Oregon,4,3.2222223,2
1980-12-01,3,1,42_-122_Oregon,4,2.0555556,1
1980-01-01,3,1,42_-121_California,4,7.7222223,2
